Time (min),Force (N),Position (mm)
0.625,2660,1.5785
0.628,2670,1.5841
0.630,2670,1.5897
0.632,2670,1.5956
0.635,2680,1.6017
0.637,2680,1.6078
0.639,2690,1.6140
0.642,2690,1.6199
0.644,2690,1.6255
0.646,2700,1.6311
0.649,2700,1.6371
0.651,2710,1.6432
0.653,2710,1.6494
0.656,2720,1.6556
0.658,2710,1.6614
0.660,2720,1.6669
0.663,2720,1.6727
0.665,2720,1.6788
0.667,2730,1.6848
0.670,2730,1.6910
0.672,2740,1.6972
0.674,2740,1.7028
0.677,2740,1.7084
0.679,2740,1.7142
0.681,2750,1.7203
0.684,2750,1.7264
0.686,2760,1.7326
0.688,2760,1.7387
0.691,2760,1.7442
0.693,2770,1.7500
0.695,2770,1.7558
0.698,2770,1.7620
0.700,2780,1.7680
0.702,2780,1.7743
0.705,2780,1.7801
0.707,2790,1.7857
0.709,2790,1.7915
0.712,2790,1.7975
0.714,2800,1.8036
0.716,2800,1.8097
0.719,2800,1.8158
0.721,2810,1.8215
0.723,2810,1.8271
0.726,2810,1.8329
0.728,2820,1.8391
0.730,2820,1.8451
0.733,2820,1.8513
0.735,2830,1.8574
0.737,2830,1.8631
0.740,2830,1.8686
0.742,2830,1.8745
0.744,2840,1.8806
0.747,2840,1.8867
0.749,2850,1.8928
0.751,2850,1.8989
0.754,2850,1.9044
0.756,2850,1.9101
0.758,2860,1.9160
0.761,2860,1.9221
0.763,2860,1.9283
0.765,2870,1.9345
0.768,2870,1.9403
0.770,2870,1.9458
0.772,2870,1.9515
0.775,2880,1.9576
0.777,2880,1.9637
0.779,2880,1.9698
0.782,2890,1.9760
0.784,2890,1.9817
0.786,2890,1.9872
0.789,2890,1.9931
0.791,2900,1.9992
0.793,2900,2.0052
0.796,2900,2.0114
0.798,2910,2.0175
0.800,2910,2.0231
0.803,2910,2.0287
0.805,2910,2.0345
0.807,2920,2.0407
0.810,2920,2.0467
0.812,2920,2.0529
0.814,2930,2.0589
0.817,2930,2.0644
0.819,2930,2.0701
0.821,2930,2.0761
0.824,2940,2.0822
0.826,2940,2.0883
0.828,2940,2.0944
0.831,2940,2.1003
0.833,2950,2.1058
0.835,2950,2.1117
0.838,2950,2.1177
0.840,2950,2.1238
0.842,2960,2.1299
0.845,2960,2.1361
0.847,2960,2.1418
0.849,2960,2.1473
0.852,2970,2.1531
0.854,2970,2.1593
0.856,2970,2.1654
0.859,2980,2.1716
0.861,2980,2.1776
0.863,2980,2.1832
0.866,2980,2.1888
0.868,2990,2.1946
0.870,2990,2.2008
0.873,2990,2.2069
0.875,2990,2.2131
0.877,3000,2.2190
0.880,3000,2.2246
0.882,3000,2.2302
0.884,3000,2.2362
0.887,3010,2.2423
0.889,3010,2.2485
0.891,3010,2.2547
0.894,3010,2.2604
0.896,3020,2.2660
0.898,3020,2.2717
0.901,3020,2.2779
0.903,3020,2.2840
0.905,3030,2.2901
0.908,3030,2.2963
0.910,3030,2.3019
0.912,3030,2.3076
0.915,3040,2.3134
0.917,3040,2.3195
0.919,3040,2.3256
0.922,3040,2.3318
0.924,3050,2.3378
0.926,3050,2.3434
0.929,3050,2.3490
0.931,3050,2.3549
0.933,3060,2.3610
0.936,3060,2.3670
0.938,3060,2.3733
0.940,3060,2.3792
0.943,3060,2.3847
0.945,3070,2.3904
0.947,3070,2.3964
0.950,3070,2.4026
0.952,3080,2.4086
0.954,3080,2.4148
0.957,3080,2.4206
0.959,3080,2.4262
0.961,3080,2.4319
0.964,3080,2.4380
0.966,3090,2.4441
0.968,3090,2.4502
0.971,3090,2.4564
0.973,3090,2.4620
0.975,3100,2.4676
0.978,3100,2.4734
0.980,3100,2.4796
0.982,3100,2.4856
0.985,3100,2.4918
0.987,3110,2.4979
0.989,3110,2.5034
0.992,3110,2.5091
0.994,3110,2.5150
0.996,3120,2.5212
0.999,3120,2.5273
1.00,3120,2.5335
1.00,3120,2.5393
1.01,3120,2.5449
1.01,3130,2.5506
1.01,3130,2.5567
1.01,3130,2.5627
1.01,3130,2.5689
1.02,3140,2.5750
1.02,3140,2.5807
1.02,3140,2.5863
1.02,3140,2.5920
1.03,3140,2.5982
1.03,3150,2.6042
1.03,3150,2.6104
1.03,3150,2.6165
1.04,3150,2.6221
1.04,3150,2.6277
1.04,3160,2.6336
1.04,3160,2.6398
1.05,3160,2.6458
1.05,3160,2.6521
1.05,3170,2.6580
1.05,3170,2.6635
1.05,3170,2.6691
1.06,3170,2.6752
1.06,3170,2.6813
1.06,3180,2.6874
1.06,3180,2.6936
1.07,3180,2.6994
1.07,3180,2.7049
1.07,3180,2.7107
