Time (min),Force (N),Position (mm)
1.00,300,2.5303
1.00,300,2.5396
1.01,300,2.5484
1.01,300,2.5572
1.01,300,2.5661
1.02,300,2.5754
1.02,301,2.5844
1.02,300,2.5931
1.03,300,2.6020
1.03,300,2.6111
1.04,300,2.6205
1.04,300,2.6292
1.04,300,2.6380
1.05,301,2.6470
1.05,301,2.6563
1.05,301,2.6652
1.06,300,2.6739
1.06,301,2.6828
1.06,301,2.6920
1.07,300,2.7012
1.07,300,2.7099
1.07,300,2.7187
1.08,300,2.7277
1.08,301,2.7371
1.08,301,2.7460
1.09,300,2.7547
1.09,301,2.7636
1.10,301,2.7727
1.10,301,2.7820
1.10,301,2.7907
1.11,301,2.7995
1.11,301,2.8085
1.11,301,2.8179
1.12,301,2.8268
1.12,301,2.8355
1.12,301,2.8445
1.13,301,2.8536
1.13,301,2.8629
1.13,301,2.8716
1.14,301,2.8804
1.14,301,2.8893
1.14,301,2.8987
1.15,301,2.9076
1.15,301,2.9163
1.16,301,2.9252
1.16,301,2.9344
1.16,301,2.9437
1.17,301,2.9523
1.17,301,2.9612
1.17,301,2.9702
1.18,302,2.9796
1.18,301,2.9884
1.18,301,2.9971
1.19,301,3.0061
1.19,302,3.0153
1.19,302,3.0245
1.20,302,3.0331
1.20,301,3.0420
1.20,301,3.0510
1.21,302,3.0604
1.21,301,3.0691
1.22,302,3.0779
1.22,301,3.0868
1.22,302,3.0960
1.23,302,3.1052
1.23,301,3.1139
1.23,301,3.1228
1.24,302,3.1318
1.24,302,3.1412
1.24,302,3.1499
1.25,302,3.1587
1.25,302,3.1677
1.25,302,3.1769
1.26,302,3.1861
1.26,302,3.1948
1.26,302,3.2036
1.27,302,3.2127
1.27,302,3.2220
1.28,302,3.2308
1.28,302,3.2396
1.28,302,3.2486
1.29,302,3.2578
1.29,303,3.2669
1.29,302,3.2756
1.30,302,3.2845
1.30,302,3.2935
1.30,302,3.3029
1.31,303,3.3116
1.31,302,3.3204
1.31,303,3.3294
1.32,302,3.3387
1.32,303,3.3477
1.33,302,3.3564
1.33,302,3.3653
1.33,302,3.3744
1.34,303,3.3838
1.34,303,3.3925
1.34,302,3.4012
1.35,303,3.4102
1.35,302,3.4195
1.35,303,3.4285
1.36,303,3.4372
1.36,302,3.4461
1.36,303,3.4552
1.37,303,3.4646
1.37,303,3.4732
1.37,303,3.4820
1.38,303,3.4910
1.38,303,3.5003
1.39,303,3.5093
1.39,303,3.5181
1.39,303,3.5269
1.40,303,3.5360
1.40,303,3.5453
1.40,303,3.5540
1.41,303,3.5628
1.41,303,3.5718
1.41,303,3.5811
1.42,303,3.5901
1.42,303,3.5988
1.42,303,3.6077
1.43,303,3.6168
1.43,303,3.6261
1.43,304,3.6348
1.44,304,3.6436
1.44,303,3.6526
1.45,304,3.6619
1.45,304,3.6709
1.45,303,3.6796
1.46,304,3.6885
1.46,304,3.6976
