rl	V(a)	V(b)	V(c)	I(Rlth)	I(Rl)
6.210000000000000e+02	5.063043e+00	4.448302e+00	6.146354e-01	9.897511e-04	9.899216e-04
6.310000000000000e+02	5.067623e+00	4.446223e+00	6.212930e-01	9.846166e-04	9.847862e-04
6.410000000000000e+02	5.072156e+00	4.444166e+00	6.278819e-01	9.795350e-04	9.797039e-04
6.510000000000000e+02	5.076643e+00	4.442130e+00	6.344032e-01	9.745057e-04	9.746737e-04
6.610000000000000e+02	5.081083e+00	4.440114e+00	6.408579e-01	9.695278e-04	9.696949e-04
6.710000000000000e+02	5.085478e+00	4.438120e+00	6.472469e-01	9.646005e-04	9.647667e-04
6.810000000000000e+02	5.089829e+00	4.436145e+00	6.535714e-01	9.597230e-04	9.598884e-04
6.910000000000000e+02	5.094136e+00	4.434191e+00	6.598321e-01	9.548946e-04	9.550591e-04
7.010000000000000e+02	5.098401e+00	4.432255e+00	6.660302e-01	9.501145e-04	9.502782e-04
7.110000000000000e+02	5.102622e+00	4.430340e+00	6.721666e-01	9.453820e-04	9.455449e-04
7.210000000000000e+02	5.106802e+00	4.428443e+00	6.782421e-01	9.406965e-04	9.408586e-04
7.310000000000000e+02	5.110940e+00	4.426565e+00	6.842577e-01	9.360571e-04	9.362185e-04
7.410000000000000e+02	5.115038e+00	4.424705e+00	6.902143e-01	9.314633e-04	9.316239e-04
7.510000000000000e+02	5.119096e+00	4.422863e+00	6.961128e-01	9.269144e-04	9.270742e-04
7.610000000000000e+02	5.123115e+00	4.421040e+00	7.019538e-01	9.224097e-04	9.225687e-04
7.710000000000000e+02	5.127094e+00	4.419234e+00	7.077383e-01	9.179485e-04	9.181068e-04
7.810000000000000e+02	5.131035e+00	4.417445e+00	7.134672e-01	9.135304e-04	9.136878e-04
7.910000000000000e+02	5.134939e+00	4.415674e+00	7.191412e-01	9.091545e-04	9.093112e-04
8.010000000000000e+02	5.138805e+00	4.413919e+00	7.247611e-01	9.048203e-04	9.049763e-04
8.110000000000000e+02	5.142634e+00	4.412181e+00	7.303277e-01	9.005273e-04	9.006825e-04
8.210000000000000e+02	5.146428e+00	4.410460e+00	7.358416e-01	8.962749e-04	8.964293e-04
8.310000000000000e+02	5.150186e+00	4.408754e+00	7.413038e-01	8.920623e-04	8.922160e-04
8.410000000000000e+02	5.153908e+00	4.407065e+00	7.467148e-01	8.878892e-04	8.880423e-04
8.510000000000000e+02	5.157596e+00	4.405391e+00	7.520755e-01	8.837550e-04	8.839073e-04
8.610000000000000e+02	5.161250e+00	4.403733e+00	7.573865e-01	8.796591e-04	8.798107e-04
8.710000000000000e+02	5.164870e+00	4.402090e+00	7.626485e-01	8.756010e-04	8.757519e-04
8.810000000000000e+02	5.168457e+00	4.400462e+00	7.678621e-01	8.715802e-04	8.717303e-04
8.910000000000000e+02	5.172011e+00	4.398849e+00	7.730281e-01	8.675961e-04	8.677455e-04
9.010000000000000e+02	5.175532e+00	4.397251e+00	7.781470e-01	8.636483e-04	8.637971e-04
9.110000000000000e+02	5.179022e+00	4.395668e+00	7.832196e-01	8.597362e-04	8.598843e-04
9.210000000000000e+02	5.182480e+00	4.394098e+00	7.882465e-01	8.558594e-04	8.560069e-04
9.310000000000000e+02	5.185907e+00	4.392543e+00	7.932282e-01	8.520174e-04	8.521642e-04
9.410000000000000e+02	5.189304e+00	4.391001e+00	7.981654e-01	8.482098e-04	8.483559e-04
9.510000000000000e+02	5.192670e+00	4.389473e+00	8.030587e-01	8.444360e-04	8.445815e-04
9.610000000000000e+02	5.196007e+00	4.387959e+00	8.079085e-01	8.406957e-04	8.408406e-04
9.710000000000000e+02	5.199314e+00	4.386458e+00	8.127157e-01	8.369884e-04	8.371326e-04
