Time (min),Force (N),Position (mm)
0.460,307,1.1581
0.462,307,1.1624
0.463,307,1.1669
0.465,307,1.1712
0.467,306,1.1754
0.468,306,1.1795
0.470,306,1.1836
0.472,306,1.1878
0.473,306,1.1920
0.475,306,1.1962
0.477,306,1.2005
0.478,306,1.2050
0.480,306,1.2094
0.482,306,1.2136
0.483,306,1.2176
0.485,305,1.2217
0.487,305,1.2259
0.488,305,1.2301
0.490,305,1.2343
0.492,305,1.2385
0.493,305,1.2429
0.495,305,1.2473
0.497,305,1.2517
0.498,304,1.2558
0.500,305,1.2599
0.502,305,1.2641
0.503,304,1.2682
0.505,304,1.2725
0.507,304,1.2767
0.508,304,1.2810
0.510,304,1.2854
0.512,304,1.2899
0.513,304,1.2940
0.515,304,1.2981
0.517,303,1.3023
0.518,305,1.3064
0.520,303,1.3106
0.522,303,1.3148
0.523,303,1.3190
0.525,304,1.3234
0.527,304,1.3279
0.528,304,1.3322
0.530,303,1.3364
0.532,303,1.3405
0.533,303,1.3446
0.535,303,1.3487
0.537,303,1.3529
0.538,303,1.3572
0.540,303,1.3615
0.542,303,1.3659
0.543,303,1.3703
0.545,303,1.3745
0.547,303,1.3786
0.548,303,1.3827
0.550,303,1.3868
0.552,303,1.3911
0.553,303,1.3953
0.555,303,1.3995
0.557,303,1.4039
0.558,303,1.4084
0.560,302,1.4127
0.562,302,1.4168
0.563,302,1.4209
0.565,302,1.4250
0.567,302,1.4292
0.568,302,1.4334
0.570,302,1.4376
0.572,302,1.4419
0.573,302,1.4463
0.575,302,1.4508
0.577,302,1.4550
0.578,302,1.4591
0.580,302,1.4632
0.582,302,1.4673
0.583,302,1.4715
0.585,302,1.4758
0.587,302,1.4800
0.588,302,1.4843
0.590,302,1.4888
0.592,302,1.4932
0.593,302,1.4973
0.595,302,1.5014
0.597,302,1.5055
0.598,301,1.5097
0.600,301,1.5139
0.602,301,1.5182
0.603,301,1.5225
0.605,301,1.5269
0.607,301,1.5313
0.608,301,1.5355
0.610,301,1.5396
0.612,301,1.5437
0.613,301,1.5478
0.615,301,1.5520
0.617,301,1.5563
0.618,301,1.5605
0.620,301,1.5648
0.622,301,1.5693
0.623,301,1.5736
0.625,301,1.5778
0.627,301,1.5819
0.628,301,1.5860
0.630,301,1.5902
0.632,301,1.5944
0.633,301,1.5986
0.635,301,1.6029
0.637,301,1.6074
0.638,301,1.6119
0.640,301,1.6161
0.642,301,1.6201
0.643,301,1.6242
0.645,300,1.6284
0.647,301,1.6326
0.648,301,1.6369
0.650,301,1.6411
0.652,301,1.6455
0.653,301,1.6499
0.655,301,1.6543
0.657,301,1.6584
0.658,300,1.6625
0.660,301,1.6666
0.662,301,1.6708
0.663,300,1.6750
0.665,300,1.6793
0.667,300,1.6835
0.668,301,1.6879
0.670,301,1.6924
0.672,301,1.6966
0.673,301,1.7007
0.675,300,1.7048
0.677,301,1.7089
0.678,300,1.7131
0.680,300,1.7174
0.682,300,1.7216
0.683,300,1.7260
0.685,300,1.7304
0.687,300,1.7348
0.688,300,1.7389
0.690,300,1.7430
0.692,300,1.7471
0.693,300,1.7512
0.695,300,1.7555
0.697,300,1.7597
0.698,300,1.7640
0.700,300,1.7684
0.702,300,1.7728
0.703,300,1.7770
0.705,300,1.7811
0.707,300,1.7852
0.708,300,1.7894
0.710,300,1.7936
0.712,300,1.7978
0.713,300,1.8020
0.715,300,1.8064
0.717,300,1.8108
0.718,300,1.8152
0.720,300,1.8193
0.722,300,1.8234
0.723,300,1.8275
0.725,300,1.8317
0.727,300,1.8359
0.728,300,1.8401
0.730,300,1.8444
0.732,300,1.8488
0.733,300,1.8532
0.735,300,1.8575
0.737,300,1.8615
0.738,300,1.8656
0.740,300,1.8698
0.742,300,1.8740
0.743,300,1.8782
0.745,300,1.8824
0.747,300,1.8868
0.748,300,1.8912
0.750,300,1.8956
0.752,300,1.8997
0.753,300,1.9038
0.755,300,1.9080
0.757,300,1.9121
0.758,300,1.9163
0.760,300,1.9205
0.762,300,1.9248
0.763,300,1.9292
0.765,300,1.9337
0.767,300,1.9379
0.768,300,1.9420
0.770,300,1.9461
0.772,300,1.9502
0.773,300,1.9544
0.775,300,1.9586
0.777,300,1.9629
0.778,300,1.9672
0.780,300,1.9717
0.782,300,1.9760
0.783,300,1.9802
0.785,300,1.9843
0.787,300,1.9884
0.788,300,1.9925
0.790,300,1.9968
0.792,300,2.0010
0.793,300,2.0053
0.795,300,2.0096
0.797,300,2.0141
0.798,300,2.0184
0.800,300,2.0225
0.802,300,2.0266
0.803,300,2.0307
0.805,300,2.0349
0.807,300,2.0392
0.808,300,2.0434
0.810,300,2.0477
0.812,300,2.0522
0.813,300,2.0565
0.815,300,2.0607
0.817,300,2.0647
0.818,300,2.0689
0.820,299,2.0730
0.822,300,2.0772
0.823,300,2.0815
0.825,300,2.0858
0.827,300,2.0901
0.828,300,2.0946
0.830,300,2.0989
0.832,300,2.1029
0.833,299,2.1070
0.835,300,2.1112
0.837,299,2.1154
0.838,299,2.1196
0.840,300,2.1238
0.842,300,2.1282
0.843,300,2.1326
0.845,300,2.1370
