Time (min),Force (N),Position (mm)
0.00328,0.341,0.0000
0.00330,0.274,0.0000
0.00332,0.222,0.0000
0.00333,0.229,0.0000
0.00335,0.218,0.0000
0.00337,0.252,0.0000
0.00338,0.292,0.0000
0.00340,0.297,0.0000
0.00342,0.283,0.0000
0.00343,0.280,0.0000
0.00345,0.251,0.0000
0.00347,0.190,0.0000
0.00348,0.178,0.0000
0.00350,0.169,0.0000
0.00352,0.229,0.0000
0.00353,0.209,0.0000
0.00355,0.162,0.0000
0.00357,0.107,0.0000
0.00358,0.0921,0.0000
0.00360,0.0840,0.0000
0.00362,0.0447,0.0000
0.00363,0.0501,0.0000
0.00365,0.0831,0.0000
0.00367,0.0653,0.0000
0.00368,0.00,0.0000
0.00370,-0.0170,0.0000
0.00372,-0.0635,0.0000
0.00373,-0.103,0.0000
0.00375,-0.0957,0.0000
0.00377,-0.115,0.0000
0.00378,-0.0796,0.0000
0.00380,-0.0778,0.0000
0.00382,-0.0840,0.0000
0.00383,-0.0992,0.0000
0.00385,-0.127,0.0000
0.00387,-0.174,0.0000
0.00388,-0.165,0.0000
0.00390,-0.104,0.0000
0.00392,-0.0831,0.0000
0.00393,-0.0688,0.0000
0.00395,-0.0545,0.0000
0.00397,-0.0250,0.0000
0.00398,0.000894,0.0000
0.00400,-0.0501,0.0000
0.00402,-0.0814,0.0000
0.00403,-0.0939,0.0000
0.00405,-0.00983,0.0000
0.00407,0.126,0.0000
0.00408,0.127,0.0000
0.00410,0.0894,0.0000
0.00412,0.148,0.0000
0.00413,0.153,0.0000
0.00415,0.0778,0.0000
0.00417,0.102,0.0000
0.00418,0.134,0.0000
0.00420,0.142,0.0000
0.00422,0.301,0.0000
0.00423,0.271,0.0000
0.00425,0.234,0.0000
0.00427,0.203,0.0000
0.00428,0.247,0.0000
0.00430,0.248,0.0000
0.00432,0.253,0.0000
0.00433,0.270,0.0000
0.00435,0.280,0.0000
0.00437,0.360,0.0000
0.00438,0.280,0.0000
0.00440,0.266,0.0000
0.00442,0.245,0.0000
0.00443,0.195,0.0000
0.00445,0.139,0.0000
0.00447,0.171,0.0000
0.00448,0.257,0.00010000
0.00450,0.264,0.00010000
0.00452,0.430,0.00010000
0.00453,0.503,0.00020000
0.00455,0.580,0.00020000
0.00457,0.673,0.00020000
0.00458,0.741,0.00030000
0.00460,0.969,0.00030000
0.00462,1.08,0.00030000
0.00463,1.25,0.00040000
0.00465,1.41,0.00040000
0.00467,1.52,0.00040000
0.00468,1.56,0.00040000
0.00470,1.67,0.00050000
0.00472,1.69,0.00050000
0.00473,1.68,0.00050000
0.00475,1.75,0.00050000
0.00477,1.91,0.00050000
0.00478,2.02,0.00060000
0.00480,2.02,0.00060000
0.00482,1.97,0.00070000
0.00483,2.10,0.00070000
0.00485,2.25,0.00070000
0.00487,2.25,0.00070000
0.00488,2.18,0.00080000
0.00490,2.33,0.00080000
0.00492,2.48,0.00080000
0.00493,2.50,0.00080000
0.00495,2.45,0.00090000
0.00497,2.41,0.00090000
0.00498,2.49,0.00090000
0.00500,2.52,0.00090000
0.00502,2.45,0.00090000
0.00503,2.47,0.00090000
0.00505,2.57,0.0010000
0.00507,2.63,0.0010000
0.00508,2.66,0.0010000
0.00510,2.75,0.0010000
0.00512,2.74,0.0010000
0.00513,2.84,0.0011000
0.00515,2.95,0.0011000
0.00517,3.04,0.0011000
0.00518,3.09,0.0011000
0.00520,3.35,0.0012000
0.00522,3.45,0.0012000
0.00523,3.50,0.0013000
0.00525,3.52,0.0013000
0.00527,3.62,0.0013000
0.00528,3.88,0.0013000
0.00530,4.00,0.0014000
0.00532,4.12,0.0014000
0.00533,4.28,0.0015000
0.00535,4.57,0.0015000
0.00537,4.69,0.0015000
0.00538,4.88,0.0016000
0.00540,4.97,0.0016000
0.00542,4.92,0.0017000
0.00543,5.10,0.0017000
0.00545,5.32,0.0017000
0.00547,5.49,0.0018000
0.00548,5.52,0.0018000
0.00550,5.60,0.0019000
0.00552,5.78,0.0019000
0.00553,5.93,0.0019000
0.00555,5.95,0.0020000
0.00557,5.85,0.0020000
0.00558,6.02,0.0021000
0.00560,6.20,0.0021000
0.00562,6.40,0.0022000
0.00563,6.47,0.0022000
0.00565,6.43,0.0022000
0.00567,6.57,0.0023000
0.00568,6.63,0.0023000
0.00570,6.69,0.0024000
0.00572,6.77,0.0024000
0.00573,7.00,0.0025000
0.00575,7.21,0.0025000
0.00577,7.32,0.0025000
0.00578,7.40,0.0026000
0.00580,7.48,0.0026000
0.00582,7.58,0.0026000
0.00583,7.64,0.0027000
0.00585,7.72,0.0027000
0.00587,7.87,0.0028000
0.00588,8.11,0.0028000
0.00590,8.15,0.0029000
0.00592,8.27,0.0029000
0.00593,8.42,0.0029000
0.00595,8.47,0.0030000
0.00597,8.46,0.0030000
0.00598,8.55,0.0031000
0.00600,8.70,0.0031000
0.00602,8.81,0.0031000
0.00603,8.87,0.0032000
0.00605,8.93,0.0033000
0.00607,9.08,0.0033000
0.00608,9.18,0.0033000
0.00610,9.20,0.0034000
0.00612,9.18,0.0034000
0.00613,9.28,0.0035000
0.00615,9.43,0.0035000
0.00617,9.51,0.0036000
0.00618,9.48,0.0036000
0.00620,9.57,0.0036000
0.00622,9.73,0.0037000
0.00623,9.76,0.0037000
0.00625,9.71,0.0038000
0.00627,9.87,0.0038000
0.00628,10.1,0.0038000
0.00630,10.3,0.0039000
0.00632,10.3,0.0039000
0.00633,10.5,0.0040000
0.00635,10.7,0.0040000
0.00637,10.8,0.0041000
0.00638,10.9,0.0041000
0.00640,11.0,0.0042000
0.00642,11.4,0.0042000
0.00643,11.5,0.0043000
0.00645,11.6,0.0043000
0.00647,11.8,0.0044000
0.00648,12.0,0.0044000
0.00650,12.0,0.0044000
0.00652,12.2,0.0045000
0.00653,12.3,0.0045000
0.00655,12.5,0.0046000
0.00657,12.6,0.0046000
0.00658,12.7,0.0046000
0.00660,12.8,0.0047000
0.00662,13.0,0.0047000
0.00663,13.0,0.0048000
0.00665,13.1,0.0048000
0.00667,13.2,0.0049000
0.00668,13.4,0.0049000
0.00670,13.5,0.0050000
0.00672,13.7,0.0050000
0.00673,13.9,0.0051000
